dx_id,kk,ss,bb,pp,log10(period)
631,5,2,523992,2147483647,46.7
632,5,2,523994,2147483647,46.7
633,5,2,524023,2147483647,46.7
634,5,2,524032,2147483647,46.7
635,5,2,524042,2147483647,46.7
636,5,2,524061,2147483647,46.7
637,5,2,524064,2147483647,46.7
638,5,2,524091,2147483647,46.7
639,5,2,524108,2147483647,46.7
640,5,2,524119,2147483647,46.7
641,5,2,524146,2147483647,46.7
642,5,2,524150,2147483647,46.7
643,5,2,524177,2147483647,46.7
644,5,2,524187,2147483647,46.7
645,5,2,524211,2147483647,46.7
646,5,2,524226,2147483647,46.7
647,5,2,524239,2147483647,46.7
648,5,2,524269,2147483647,46.7
649,5,2,524270,2147483647,46.7
650,5,2,1047588,2147483647,46.7
651,5,2,1047595,2147483647,46.7
652,5,2,1047617,2147483647,46.7
653,5,2,1047660,2147483647,46.7
654,5,2,1047672,2147483647,46.7
655,5,2,1047708,2147483647,46.7
656,5,2,1047850,2147483647,46.7
657,5,2,1047857,2147483647,46.7
658,5,2,1047875,2147483647,46.7
659,5,2,1047884,2147483647,46.7
660,5,2,1047897,2147483647,46.7
661,5,2,1047907,2147483647,46.7
662,5,2,1047915,2147483647,46.7
663,5,2,1047933,2147483647,46.7
664,5,2,1047964,2147483647,46.7
665,5,2,1047981,2147483647,46.7
666,5,2,1047994,2147483647,46.7
667,5,2,1048021,2147483647,46.7
668,5,2,1048064,2147483647,46.7
669,5,2,1048121,2147483647,46.7
670,5,2,1048161,2147483647,46.7
671,5,2,1048165,2147483647,46.7
672,5,2,1048188,2147483647,46.7
673,5,2,1048195,2147483647,46.7
674,5,2,1048206,2147483647,46.7
675,5,2,1048212,2147483647,46.7
676,5,2,1048219,2147483647,46.7
677,5,2,1048226,2147483647,46.7
678,5,2,1048228,2147483647,46.7
679,5,2,1048241,2147483647,46.7
680,5,2,1048250,2147483647,46.7
681,5,2,1048268,2147483647,46.7
682,5,2,1048269,2147483647,46.7
683,5,2,1048283,2147483647,46.7
684,5,2,1048323,2147483647,46.7
685,5,2,1048338,2147483647,46.7
686,5,2,1048354,2147483647,46.7
687,5,2,1048369,2147483647,46.7
688,5,2,1048516,2147483647,46.7
689,5,2,1048519,2147483647,46.7
690,5,2,1048574,2147483647,46.7
691,6,1,523098,2147483647,56.0
692,6,1,523140,2147483647,56.0
693,6,1,523153,2147483647,56.0
694,6,1,523181,2147483647,56.0
695,6,1,523242,2147483647,56.0
696,6,1,523277,2147483647,56.0
697,6,1,523278,2147483647,56.0
698,6,1,523281,2147483647,56.0
699,6,1,523284,2147483647,56.0
700,6,1,523305,2147483647,56.0
701,6,1,523310,2147483647,56.0
702,6,1,523396,2147483647,56.0
703,6,1,523405,2147483647,56.0
704,6,1,523411,2147483647,56.0
705,6,1,523440,2147483647,56.0
706,6,1,523458,2147483647,56.0
707,6,1,523501,2147483647,56.0
708,6,1,523561,2147483647,56.0
709,6,1,523566,2147483647,56.0
710,6,1,523619,2147483647,56.0
711,6,1,523634,2147483647,56.0
712,6,1,523648,2147483647,56.0
713,6,1,523664,2147483647,56.0
714,6,1,523688,2147483647,56.0
715,6,1,523724,2147483647,56.0
716,6,1,523823,2147483647,56.0
717,6,1,523851,2147483647,56.0
718,6,1,523889,2147483647,56.0
719,6,1,523896,2147483647,56.0
720,6,1,523932,2147483647,56.0
721,6,1,523995,2147483647,56.0
722,6,1,524034,2147483647,56.0
723,6,1,524078,2147483647,56.0
724,6,1,524079,2147483647,56.0
725,6,1,524084,2147483647,56.0
726,6,1,524096,2147483647,56.0
727,6,1,524111,2147483647,56.0
728,6,1,524141,2147483647,56.0
729,6,1,524171,2147483647,56.0
730,6,1,524191,2147483647,56.0
731,6,1,524197,2147483647,56.0
732,6,1,524198,2147483647,56.0
733,6,1,524218,2147483647,56.0
734,6,1,524238,2147483647,56.0
735,6,1,524246,2147483647,56.0
736,6,1,524266,2147483647,56.0
737,6,1,524284,2147483647,56.0
738,6,1,1047376,2147483647,56.0
739,6,1,1047377,2147483647,56.0
740,6,1,1047583,2147483647,56.0
741,6,1,1047621,2147483647,56.0
742,6,1,1047646,2147483647,56.0
743,6,1,1047667,2147483647,56.0
744,6,1,1047678,2147483647,56.0
745,6,1,1047690,2147483647,56.0
746,6,1,1047754,2147483647,56.0
747,6,1,1047759,2147483647,56.0
748,6,1,1047764,2147483647,56.0
749,6,1,1047771,2147483647,56.0
750,6,1,1047797,2147483647,56.0
